field_name,code_value,mapped_value
event_type,0,___MISSING___
event_type,1,STRUCK BY
event_type,2,CAUGHT IN OR BETWEEN
event_type,3,BITE/STING/SCRATCH
event_type,4,FALL(SAME LEVEL)
event_type,5,FALL(FROM ELEVATION)
event_type,6,STRUCK AGAINST
event_type,7,RUBBED/ABRADED
event_type,8,INHALATION
event_type,9,INGESTION
event_type,10,ABSORPTION
event_type,11,REP. MOTION/PRESURE
event_type,12,CARD-VASC/RESP FAIL.
event_type,13,SHOCK
event_type,14,OTHER
evn_factor,0,___MISSING___
evn_factor,1,PINCH POINT ACTION
evn_factor,2,CATCH POINT/PUNCTURE ACTION
evn_factor,3,SHEAR POINT ACTION
evn_factor,4,SQUEEZE POINT ACTION
evn_factor,5,FLYING OBJECT ACTION
evn_factor,6,OVERHEAD MOVING/FALLING OBJ AC
evn_factor,7,GAS/VAPOR/MIST/FUME/SMOKE/DUST
evn_factor,8,MATERIALS HANDLG EQUIP./METHOD
evn_factor,9,CHEMICAL ACTION/REACTION EXPOS
evn_factor,10,FLAMMABLE LIQ/SOLID EXPOSURE
evn_factor,11,TEMPERATURE +/- TOLERANCE LEV.
evn_factor,12,RADIATION CONDITION
evn_factor,13,WORK-SURFACE/FACIL-LAYOUT COND
evn_factor,14,ILLUMINATION
evn_factor,15,OVERPRESSURE/UNDERPRESSURE
evn_factor,16,SOUND LEVEL
evn_factor,17,"WEATHER, EARTHQUAKE, ETC."
evn_factor,18,OTHER
hum_factor,0,___MISSING___
hum_factor,1,"MISJUDGMENT, HAZ. SITUATION"
hum_factor,2,NO PERSONAL PROTECTIVE EQ USED
hum_factor,3,NO APPROPR PROTECTIVE CLOTHING
hum_factor,4,MALFUNC IN SECURING/WARNING OP
hum_factor,5,DISTRACTING ACTIONS BY OTHERS
hum_factor,6,EQUIP. INAPPROPR FOR OPERATION
hum_factor,7,"MALFUNC, NEUROMUSCULAR SYSTEM"
hum_factor,8,"PERCEPTION MALFUNC,TASK-ENVIR."
hum_factor,9,SAFETY DEVICES REMOVED/INOPER.
hum_factor,10,POSITION INAPROPRIATE FOR TASK
hum_factor,11,MATER-HANDLG PROCED. INAPPROPR
hum_factor,12,DEFECTIVE EQUIPMENT IN USE
hum_factor,13,LOCKOUT/TAGOUT PROCED MALFUNC
hum_factor,14,OTHER
hum_factor,15,INSUFF/LACK/HOUSEKEEPING PROGRAM
hum_factor,16,INSUFF/LACK/EXPOS/BIOLOGCL MNTRG.
hum_factor,17,INSUFF/LACK/ENGINEERNG CONTROLS
hum_factor,18,INSUFF/LACK/WRITN WRK PRAC PROG.
hum_factor,19,INSUFF/LACK/RESPIRATORY PROCTECT
hum_factor,20,INSUF/LACK/PROTCV WRK CLTHG/EQUIP
nature_of_inj,0,___MISSING___
nature_of_inj,1,AMPUTATION
nature_of_inj,2,ASPHYXIA
nature_of_inj,3,BRUISE/CONTUS/ABRAS
nature_of_inj,4,BURN(CHEMICAL)
nature_of_inj,5,BURN/SCALD(HEAT)
nature_of_inj,6,CONCUSSION
nature_of_inj,7,CUT/LACERATION
nature_of_inj,8,DERMATITIS
nature_of_inj,9,DISLOCATION
nature_of_inj,10,ELECTRIC SHOCK
nature_of_inj,11,FOREIGN BODY EYE
nature_of_inj,12,FRACTURE
nature_of_inj,13,FREEZG/FROST BITE
nature_of_inj,14,HEARG LOSS
nature_of_inj,15,HEAT EXHAUSTION
nature_of_inj,16,HERNIA
nature_of_inj,17,POISONG(SYSTEMIC)
nature_of_inj,18,PUNCTURE
nature_of_inj,19,RADIATION EFFECTS
nature_of_inj,20,STRA/SPRA
nature_of_inj,21,OTHER
nature_of_inj,22,CANCER
occ_code,0,___MISSING___
occ_code,3,Legislators
occ_code,4,"Chief exec's & gen'l administrators, public admin."
occ_code,5,"Administrators & officials, public administration"
occ_code,6,"Administrators, protective services"
occ_code,7,Financial managers
occ_code,8,Personnel and labor relations managers
occ_code,9,Purchasing managers
occ_code,13,"Managers, marketing, advertising, & public rela."
occ_code,14,"Administrators, education and related fields"
occ_code,15,"Managers, medicine and health"
occ_code,16,"Managers, properties and real estate"
occ_code,17,Postmasters and mail superintendents
occ_code,18,Funeral directors
occ_code,19,"Managers and administrators, n.e.c"
occ_code,23,Accountants and auditors
occ_code,24,Underwriters
occ_code,25,Other financial officers
occ_code,26,Management Analysts
occ_code,27,"Personnel, training & labor relations specialists"
occ_code,28,"Purchasing agents and buyers, farm products"
occ_code,29,"Buyers, wholesale & retail trade except farm prod."
occ_code,33,Purchasing agents and buyers n.e.c.
occ_code,34,Business and promotion agents
occ_code,35,Construction inspectors
occ_code,36,Inspectors and compliance officers except constr.
occ_code,37,"Management related occupations, n.e.c."
occ_code,43,Architects
occ_code,44,Aerospace engineers
occ_code,45,Metallurgical and materials engineers
occ_code,46,Mining engineers
occ_code,47,Petroleum engineers
occ_code,48,Chemical engineers
occ_code,49,Nuclear engineers
occ_code,53,Civil engineers
occ_code,54,Agricultural engineers
occ_code,55,Electrical and electronic engineers
occ_code,56,Industrial engineers
occ_code,57,Mechanical engineers
occ_code,58,Marine engineers and naval architects
occ_code,59,"Engineers, n.e.c."
occ_code,63,Surveyors and mapping scientists
occ_code,64,Computer systems analysts and scientists
occ_code,65,Operations & systems researchers and analysts
occ_code,66,Actuaries
occ_code,67,Statisticians
occ_code,68,"Mathematical scientists, n.e.c."
occ_code,69,Physicists and astronomers
occ_code,73,"Chemists, except biochemists"
occ_code,74,Atmospheric and space scientists
occ_code,75,Geologists and geodesists
occ_code,76,"Physical scientists, n.e.c."
occ_code,77,Agricultural and food scientists
occ_code,78,Biological and life scientists
occ_code,79,Forestry and conservation scientists
occ_code,83,Medical scientists
occ_code,84,Physicians
occ_code,85,Dentists
occ_code,86,Veterinarians
occ_code,87,Optometrists
occ_code,88,Podiatrists
occ_code,89,"Health diagnosing practitioners, n.e.c."
occ_code,95,Registered nurses
occ_code,96,Pharmacists
occ_code,97,Dieticians
occ_code,98,Inhalation therapists
occ_code,99,Occupational therapists
occ_code,103,Physical therapists
occ_code,104,Speech therapists
occ_code,105,"Therapists, n.e.c."
occ_code,106,Physician's assistants
occ_code,113,"Earth, environmental & marine science teachers"
occ_code,114,Biological science teachers
occ_code,115,Chemistry teachers
occ_code,116,Physics teachers
occ_code,117,"Natural science teachers, n.e.c."
occ_code,118,Psychology teachers
occ_code,119,Economics teachers
occ_code,123,History teachers
occ_code,124,Political science teachers
occ_code,125,Sociology teachers
occ_code,126,"Social science teachers, n.e.c."
occ_code,127,Engineering teachers
occ_code,128,Mathematical science teachers
occ_code,129,Computer science teachers
occ_code,133,Medical science teachers
occ_code,134,Health specialties teachers
occ_code,135,"Business, commerce and marketing teachers"
occ_code,136,Agriculture and forestry teachers
occ_code,137,"Art, drama and music teachers"
occ_code,138,Physical education teachers
occ_code,139,Education teachers
occ_code,143,English teachers
occ_code,144,Foreign language teachers
occ_code,145,Law teachers
occ_code,146,Social work teachers
occ_code,147,Theology teachers
occ_code,148,Trade and industrial teachers
occ_code,149,Home economics teachers
occ_code,153,"Teachers, postsecondary, n.e.c."
occ_code,154,"Postsecondary teachers, subject not specified"
occ_code,155,"Teachers, prekindergarten and kindergarten"
occ_code,156,"Teachers, elementary school"
occ_code,157,"Teachers, secondary school"
occ_code,158,"Teachers, special education"
occ_code,159,"Teachers, n.e.c."
occ_code,163,"Counselors, educational and vocational"
occ_code,164,Librarians
occ_code,165,Archivists and curators
occ_code,166,Economists
occ_code,167,Psychologists
occ_code,168,Sociologists
occ_code,169,"Social scientists, n.e.c."
occ_code,173,Urban planners
occ_code,174,Social workers
occ_code,175,Recreation workers
occ_code,176,Clergy
occ_code,177,"Religious workers, n.e.c."
occ_code,178,Lawyers
occ_code,179,Judges
occ_code,183,Authors
occ_code,184,Technical writers
occ_code,185,Designers
occ_code,186,Musicians and composers
occ_code,187,Actors and directors
occ_code,188,"Painters, sculptors, craft-artists & printmakers"
occ_code,189,Photographers
occ_code,193,Dancers
occ_code,194,"Artists, performers and related workers n.e.c."
occ_code,195,Editors and reporters
occ_code,197,Public relations specialists
occ_code,198,Announcers
occ_code,199,Athletes
occ_code,203,Clinical Laboratory technologists and technicians
occ_code,204,Dental Hygienists
occ_code,205,Health record technologists and technicians
occ_code,206,Radiologic technicians
occ_code,207,Licensed practical nurses
occ_code,208,"Health technologists and technicians, n.e.c."
occ_code,213,Electrical and electronic technicians
occ_code,214,Industrial engineering technicians
occ_code,215,Mechanical engineering technicians
occ_code,216,"Engineering technicians, n.e.c."
occ_code,217,Drafting occupations
occ_code,218,Surveying and mapping technicians
occ_code,223,Biological technicians
occ_code,224,Chemical technicians
occ_code,225,"Science technicians, n.e.c."
occ_code,226,Airplane pilots and navigators
occ_code,227,Air traffic controllers
occ_code,228,Broadcast equipment operators
occ_code,229,Computer programmers
occ_code,233,"Tool programmers, numerical control"
occ_code,234,Legal assistants
occ_code,235,"Technicians, n.e.c."
occ_code,243,"Supervisors and proprietors, sales occupations"
occ_code,253,Insurance sales occupations
occ_code,254,Real estate sales occupations
occ_code,255,Securities and financial services occupations
occ_code,256,Advertising and related sales occupations
occ_code,257,"Sales occupations, other business services"
occ_code,258,Sales engineers
occ_code,259,"Sales representatives, mining, mfg., & wholesale"
occ_code,263,"Sales workers, motor vehicles and boats"
occ_code,264,"Sales workers, apparel"
occ_code,265,"Sales workers, shoes"
occ_code,266,"Sales workers, furniture and home furnishings"
occ_code,267,"Sales workers, radio, TV, hi-fi and appliances"
occ_code,268,"Sales workers, hardware and building supplies"
occ_code,269,"Sales workers, parts"
occ_code,274,"Sales workers, other commodities"
occ_code,275,Sales counter clerks
occ_code,276,Cashiers
occ_code,277,Street and door-to-door sales workers
occ_code,283,"Demonstrators, promoters and models, sales"
occ_code,284,Auctioneers
occ_code,285,"Sales support occupations, n.e.c."
occ_code,303,"Supervisors, general office"
occ_code,304,"Supervisors, computer equipment operators"
occ_code,305,"Supervisors, financial records processing"
occ_code,306,Chief communications operators
occ_code,307,"Supervisors; distrib., sched'g & adjusting clerks"
occ_code,308,Computer operators
occ_code,309,Peripheral equipment operators
occ_code,313,Secretaries
occ_code,314,Stenographers
occ_code,315,Typists
occ_code,316,Interviewers
occ_code,317,Hotel clerks
occ_code,318,Transportation ticket and reservation agents
occ_code,319,Receptionists
occ_code,323,"Information clerks, n.e.c."
occ_code,325,Classified-ad clerks
occ_code,326,Correspondence clerks
occ_code,327,Order clerks
occ_code,328,"Personnel clerks, except payroll and timekeeping"
occ_code,329,Library clerks
occ_code,335,File clerks
occ_code,336,Records clerks
occ_code,337,"Bookkeepers, accounting and auditing clerks"
occ_code,338,Payroll and timekeeping clerks
occ_code,339,Billing clerks
occ_code,343,Cost and rate clerks
occ_code,344,"Billing, posting and calculating machine operators"
occ_code,345,Duplicating machine operators
occ_code,346,Mail preparing & paper handling machine operators
occ_code,347,"Office machine operators, n.e.c."
occ_code,348,Telephone operators
occ_code,349,Telegraphers
occ_code,353,"Communications equipment operators, n.e.c."
occ_code,354,"Postal clerks, excluding mail carriers"
occ_code,355,"Mail carriers, postal service"
occ_code,356,"Mail clerks, excluding postal service"
occ_code,357,Messengers
occ_code,359,Dispatchers
occ_code,363,Production coordinators
occ_code,364,"Traffic, shipping and receiving clerks"
occ_code,365,Stock and inventory clerks
occ_code,366,Meter readers
occ_code,368,"Weighers, measurers and checkers"
occ_code,369,Samplers
occ_code,373,Expediters
occ_code,374,"Material recording, sched'g & distr. clerks n.e.c."
occ_code,375,"Insurance adjusters, examiners and investigators"
occ_code,376,"Investigators and adjusters, except insurance"
occ_code,377,"Eligibility clerks, social welfare"
occ_code,378,Bill and account collectors
occ_code,379,General office clerks
occ_code,383,Bank tellers
occ_code,384,Proofreaders
occ_code,385,Data-entry keyers
occ_code,386,Statistical clerks
occ_code,387,Teachers' aides
occ_code,389,"Administrative support occupations, n.e.c."
occ_code,403,Launderers and ironers
occ_code,404,"Cooks, private household"
occ_code,405,Housekeepers and butlers
occ_code,406,"Child care workers, private household"
occ_code,407,Private household cleaners and servants
occ_code,413,"Supervisors, firefighting & fire prevention occupa"
occ_code,414,"Supervisors, police and detectives"
