summary_nr,fatality_ind,partition
508580,1,test
508598,1,test
508820,1,train
508895,1,train
508937,1,test
508945,0,test
509075,1,train
509091,1,train
509109,1,test
509117,1,test
509208,1,train
509240,0,test
509257,1,test
509265,0,test
509356,1,train
509372,1,train
509406,1,test
509463,1,test
509471,1,test
509489,0,test
509497,1,test
509505,0,test
509539,1,test
509554,1,test
509570,1,test
509588,1,test
509596,1,test
509612,1,train
509620,1,test
509646,1,train
509653,1,test
509661,1,test
509679,1,test
509687,1,train
509695,1,test
509703,1,train
509729,1,train
509752,0,train
509760,1,test
509794,0,test
509802,1,train
509828,1,test
509836,0,train
509844,1,train
509901,1,train
509935,1,test
509943,1,train
510024,0,test
510032,0,test
510271,0,test
510289,0,test
510305,0,train
510313,0,test
510321,0,test
510362,0,test
510370,0,test
510404,0,test
510438,0,test
510453,0,train
510461,0,test
510651,0,train
510685,0,test
510701,0,test
510719,0,test
510768,0,train
510867,0,test
510875,0,train
510883,0,test
511303,0,test
511345,0,test
511360,0,test
511378,0,test
511386,0,train
511410,0,test
511436,0,test
511444,1,train
511451,0,test
511469,1,test
511477,0,test
511493,0,test
511501,0,train
511535,0,train
511543,0,test
511550,0,test
511568,0,test
511576,1,test
511584,0,train
511592,1,test
511600,1,test
511618,0,test
511659,1,test
511675,0,test
511683,0,test
511709,0,test
511717,0,test
511725,0,test
511733,0,train
511758,0,test
511766,0,test
511774,0,test
511782,0,test
511790,0,test
511808,0,test
511832,0,train
511840,0,train
511865,0,test
511873,0,test
511881,0,test
511899,0,test
511907,0,test
511923,0,train
511931,0,test
511949,0,train
511956,0,test
511964,0,test
511972,0,test
511980,0,test
511998,0,test
512004,0,train
512020,0,train
512038,0,test
512046,1,train
512053,0,test
512061,0,test
512079,0,train
512087,0,test
512095,0,test
512103,0,test
512111,0,test
512129,0,test
512137,0,test
512145,0,test
512152,0,test
512160,0,test
512178,0,train
512194,0,test
512236,0,train
512244,1,test
512269,1,test
512277,1,test
512285,1,test
512293,1,train
512319,1,test
512327,1,test
512335,1,test
514638,1,test
514661,1,test
514679,1,train
514737,1,test
514745,1,train
514778,1,test
514794,1,train
514851,1,test
514877,1,test
514935,1,test
514976,1,test
514984,1,train
515015,1,test
515031,1,train
515049,1,test
515064,1,test
515072,1,test
515114,1,test
515148,1,test
515155,1,train
515163,1,test
515189,1,test
515205,1,test
515213,1,test
515221,1,train
515247,1,train
515254,1,train
515577,1,train
515585,1,train
515650,1,test
515668,1,test
515676,1,test
515700,1,train
515718,1,test
515734,1,train
515742,1,test
515783,1,test
515791,1,train
515809,1,test
515817,1,train
515874,1,test
515890,1,test
515908,1,test
515924,1,test
515932,1,test
515957,1,test
516310,1,test
516377,0,test
518878,1,train
518886,1,train
518894,1,test
518936,1,test
518944,1,train
518969,1,train
518977,1,train
519116,1,train
519140,1,test
519165,1,train
519405,1,train
519413,1,test
519439,1,test
520072,1,train
520106,1,train
520114,1,test
520163,1,test
520239,1,test
520254,1,test
520262,1,train
520270,1,test
520296,0,test
520304,1,train
520312,1,test
521138,1,train
521146,1,test
521211,1,test
521229,1,test
521252,1,test
521286,1,train
521427,0,test
521435,1,train
521526,1,train
521559,1,test
521567,1,test
521575,1,train
521583,1,test
521591,1,test
521609,1,train
521666,1,test
521674,1,test
521682,1,test
521757,1,train
521799,1,train
521849,0,train
